VISHAY NTC RT Calculation
The NTC R/T Calculator tool may be used to determine certain capabilities of Vishay NTC thermistors."Utilizing data provided by the user," the tool can generate standard R/T tables for such thermistors. TheNTC R/T Calculator tool is provided solely on an "AS IS" and "AS AVAILABLE" basis for the convenience"of Vishay customers, and without any warranties or representations of any kind, express or implied," all"of which are hereby expressly disclaimed. Any information, computations," or results generated by the"tool, or otherwise available from or through the csv or pdf files," is provided and utilized at your owndiscretion and risk. Vishay does not assume any responsibility or liability resulting from your use of  the"tool or any such information, computations, or results," and shall have none."The foregoing is in addition to, and not in limitations of," the disclaimer below:Vishay disclaimer https://www.vishay.com/doc?91000"For technical questions or inquiries," contact: nlr@vishay.com or thermistor1@vishay.comOrdering Code,,NTCALUG54A103G351A
B(25/85) [K],,3984
R at 25 deg C [ohm],,10000, B(0/100) [K],,3954
R25 Tol [%],,2, B(25/50) [K],,3939
B Tol [%],,0.5, B(25/75) [K],,undefined
,,, B(25/100) [K],,4001
RT=R25*EXP(A+B/(T+273.15)+C/(T+273.15)^2+D/(T+273.15)^3)
T,< 25 deg C,>= 25 deg C
A,-14.65719769,-14.65719769
B,4798.84200000,4798.84200000
C,-115334.00000000,-115334.00000000
D,-3730535.00000000,-3730535.00000000

T=1/(A1+B1*LN(RT/R25)+C1*LN(RT/R25)^2+D1*LN(RT/R25)^3)-273.15
T,< 25 deg C,>= 25 deg C
A1,0.003354016434680530000,0.003354016434680530000
B1,0.000256523550896126000,0.000256523550896126000
C1,0.000002605970120720520,0.000002605970120720520
D1,0.000000063292612648746,0.000000063292612648746

T [celsius], Rnom [ohms], Rmin [ohms], Rmax [ohms], delta R/R [+-%], delta T [+- celsius], alpha [%/K]
"10","19896.90","19427.1","20366.7","2.36","0.49","-4.80"
"10.5","19426.22","18970.0","19882.4","2.35","0.49","-4.78"
"11","18968.04","18525.0","19411.1","2.34","0.49","-4.77"
"11.5","18522.00","18091.7","18952.3","2.32","0.49","-4.75"
"12","18087.75","17669.8","18505.7","2.31","0.49","-4.74"
"12.5","17664.94","17259.0","18070.9","2.30","0.49","-4.72"
"13","17253.25","16858.9","17647.6","2.29","0.49","-4.71"
"13.5","16852.33","16469.2","17235.5","2.27","0.48","-4.70"
"14","16461.90","16089.7","16834.1","2.26","0.48","-4.68"
"14.5","16081.64","15720.0","16443.3","2.25","0.48","-4.67"
"15","15711.26","15359.9","16062.6","2.24","0.48","-4.65"
"15.5","15350.47","15009.0","15691.9","2.22","0.48","-4.64"
"16","14999.01","14667.2","15330.8","2.21","0.48","-4.63"
"16.5","14656.61","14334.2","14979.1","2.20","0.48","-4.61"
"17","14323.01","14009.6","14636.4","2.19","0.48","-4.60"
"17.5","13997.96","13693.4","14302.5","2.18","0.48","-4.58"
"18","13681.22","13385.2","13977.3","2.16","0.47","-4.57"
"18.5","13372.55","13084.8","13660.3","2.15","0.47","-4.56"
"19","13071.73","12792.0","13351.5","2.14","0.47","-4.54"
"19.5","12778.53","12506.6","13050.5","2.13","0.47","-4.53"
"20","12492.75","12228.4","12757.1","2.12","0.47","-4.52"
"20.5","12214.17","11957.1","12471.2","2.10","0.47","-4.50"
"21","11942.59","11692.7","12192.5","2.09","0.47","-4.49"
"21.5","11677.83","11434.8","11920.8","2.08","0.46","-4.48"
"22","11419.69","11183.4","11656.0","2.07","0.46","-4.46"
"22.5","11167.98","10938.2","11397.8","2.06","0.46","-4.45"
"23","10922.54","10699.1","11146.0","2.05","0.46","-4.44"
"23.5","10683.18","10465.8","10900.5","2.03","0.46","-4.43"
"24","10449.75","10238.4","10661.1","2.02","0.46","-4.41"
"24.5","10222.07","10016.5","10427.7","2.01","0.46","-4.40"
"25","10000.00","9800.0","10200.0","2.00","0.46","-4.39"
"25.5","9783.38","9586.6","9980.2","2.01","0.46","-4.37"
"26","9572.05","9378.4","9765.7","2.02","0.46","-4.36"
"26.5","9365.89","9175.4","9556.4","2.03","0.47","-4.35"
"27","9164.74","8977.3","9352.2","2.05","0.47","-4.34"
"27.5","8968.48","8784.0","9152.9","2.06","0.48","-4.32"
"28","8776.97","8595.5","8958.5","2.07","0.48","-4.31"
"28.5","8590.09","8411.5","8768.7","2.08","0.48","-4.30"
"29","8407.70","8232.0","8583.4","2.09","0.49","-4.29"
"29.5","8229.70","8056.8","8402.6","2.10","0.49","-4.27"
"30","8055.96","7885.8","8226.1","2.11","0.50","-4.26"
"30.5","7886.37","7718.9","8053.8","2.12","0.50","-4.25"
"31","7720.82","7556.0","7885.6","2.13","0.50","-4.24"
"31.5","7559.21","7397.0","7721.4","2.15","0.51","-4.22"
"32","7401.43","7241.8","7561.0","2.16","0.51","-4.21"
"32.5","7247.38","7090.3","7404.4","2.17","0.52","-4.20"
"33","7096.96","6942.4","7251.5","2.18","0.52","-4.19"
"33.5","6950.07","6797.9","7102.2","2.19","0.52","-4.18"
"34","6806.64","6656.9","6956.4","2.20","0.53","-4.16"
"34.5","6666.55","6519.2","6813.9","2.21","0.53","-4.15"
"35","6529.74","6384.7","6674.8","2.22","0.54","-4.14"
"35.5","6396.11","6253.4","6538.9","2.23","0.54","-4.13"
"36","6265.58","6125.1","6406.1","2.24","0.54","-4.12"
"36.5","6138.08","5999.8","6276.4","2.25","0.55","-4.11"
"37","6013.51","5877.4","6149.6","2.26","0.55","-4.09"
"37.5","5891.82","5757.8","6025.8","2.27","0.56","-4.08"
"38","5772.92","5641.0","5904.8","2.28","0.56","-4.07"
"38.5","5656.74","5526.9","5786.6","2.30","0.57","-4.06"
"39","5543.22","5415.4","5671.0","2.31","0.57","-4.05"
"39.5","5432.29","5306.5","5558.1","2.32","0.57","-4.04"
"40","5323.88","5200.0","5447.7","2.33","0.58","-4.03"
"40.5","5217.92","5096.0","5339.9","2.34","0.58","-4.01"
"41","5114.37","4994.3","5234.4","2.35","0.59","-4.00"
"41.5","5013.15","4895.0","5131.3","2.36","0.59","-3.99"
"42","4914.20","4797.9","5030.5","2.37","0.59","-3.98"
"42.5","4817.48","4702.9","4932.0","2.38","0.60","-3.97"
"43","4722.92","4610.1","4835.7","2.39","0.60","-3.96"
"43.5","4630.47","4519.4","4741.5","2.40","0.61","-3.95"
"44","4540.08","4430.7","4649.4","2.41","0.61","-3.94"
"44.5","4451.70","4344.0","4559.4","2.42","0.62","-3.93"
"45","4365.27","4259.3","4471.3","2.43","0.62","-3.92"
"45.5","4280.76","4176.4","4385.1","2.44","0.63","-3.90"
"46","4198.11","4095.3","4300.9","2.45","0.63","-3.89"
"46.5","4117.27","4016.1","4218.5","2.46","0.63","-3.88"
"47","4038.21","3938.5","4137.9","2.47","0.64","-3.87"
"47.5","3960.88","3862.7","4059.0","2.48","0.64","-3.86"
"48","3885.23","3788.6","3981.9","2.49","0.65","-3.85"
"48.5","3811.24","3716.0","3906.4","2.50","0.65","-3.84"
"49","3738.84","3645.1","3832.6","2.51","0.65","-3.83"
"49.5","3668.02","3575.7","3760.4","2.52","0.66","-3.82"
"50","3598.72","3507.8","3689.7","2.53","0.66","-3.81"
"50.5","3530.92","3441.3","3620.5","2.54","0.67","-3.80"
"51","3464.58","3376.4","3552.8","2.55","0.67","-3.79"
"51.5","3399.65","3312.7","3486.6","2.56","0.68","-3.78"
"52","3336.12","3250.5","3421.7","2.57","0.68","-3.77"
"52.5","3273.94","3189.6","3358.3","2.58","0.68","-3.76"
